# CF3+ in CF4 digitized using xyscan 
# from http://scitation.aip.org/content/aip/journal/jap/91/1/10.1063/1.1421034
# Td    cm^2 /v/ s
0       0.93
29.6182	0.932419
34.7563	0.926274
39.9056	0.926274
44.5044	0.92017
49.6332	0.914106
54.5538	0.908082
59.0966	0.926274		
64.0177	0.944831		
67.3605	0.938604		
72.4411	0.957408		
77.9048	0.963759		
83.1736	0.963759		
86.2532	0.970152		
94.1175	0.989588		
99.0321	1.00941	
109.645	1.02285	
118.775	1.02964	
139.38	1.08556	
157.719	1.12949	
183.739	1.16746	
218.772	1.19085	
254.864	1.19875	
296.91	1.19085	
340.899	1.183	0	
385.754	1.14453	
439.697	1.09277	
538.983	0.983067
637.1	  0.896153
695.189	0.785149
742.206	0.711017

