====== 30torr_100keV                            =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  F(100 keV) ==> 3Carbon Tetrafluoride (I(  10 mm) =========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  F   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer 1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width = 10000.E+04 A ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100000.E+01  1490.05E-06  1297.04E-07
200000.E+01  1486.73E-06  1601.50E-07
300000.E+01  1483.57E-06  2463.83E-07
400000.E+01  1476.82E-06  2484.35E-07
500000.E+01  1471.11E-06  2625.92E-07
600000.E+01  1468.28E-06  3000.45E-07
700000.E+01  1455.96E-06  2962.97E-07
800000.E+01  1446.95E-06  3471.27E-07
900000.E+01  1449.68E-06  2976.89E-07
100000.E+02  1436.10E-06  3717.14E-07
110000.E+02  1434.52E-06  3680.58E-07
120000.E+02  1419.94E-06  3829.31E-07
130000.E+02  1400.37E-06  4262.06E-07
140000.E+02  1382.84E-06  3756.27E-07
150000.E+02  1377.62E-06  3402.24E-07
160000.E+02  1352.85E-06  3334.93E-07
170000.E+02  1327.19E-06  3632.33E-07
180000.E+02  1297.85E-06  3960.93E-07
190000.E+02  1282.96E-06  3953.65E-07
200000.E+02  1239.72E-06  4042.09E-07
210000.E+02  1217.86E-06  3966.88E-07
220000.E+02  1195.24E-06  3768.86E-07
230000.E+02  1172.06E-06  4115.46E-07
240000.E+02  1135.08E-06  4217.30E-07
250000.E+02  1089.10E-06  4004.18E-07
260000.E+02  1055.94E-06  4176.44E-07
270000.E+02  1002.41E-06  3773.52E-07
280000.E+02  9591.84E-07  4037.22E-07
290000.E+02  9022.27E-07  3950.77E-07
300000.E+02  8438.36E-07  3631.51E-07
310000.E+02  8093.41E-07  3449.30E-07
320000.E+02  7516.09E-07  3552.29E-07
330000.E+02  7082.10E-07  3494.04E-07
340000.E+02  6516.52E-07  3529.58E-07
350000.E+02  6113.39E-07  3515.35E-07
360000.E+02  5544.16E-07  3377.18E-07
370000.E+02  5027.64E-07  3140.32E-07
380000.E+02  4550.86E-07  3022.60E-07
390000.E+02  3887.00E-07  2597.83E-07
400000.E+02  3354.80E-07  2362.87E-07
410000.E+02  3008.15E-07  2045.77E-07
420000.E+02  2660.68E-07  1889.30E-07
430000.E+02  2162.08E-07  1723.10E-07
440000.E+02  1843.69E-07  1522.58E-07
450000.E+02  1487.32E-07  1220.55E-07
460000.E+02  1252.05E-07  1160.94E-07
470000.E+02  9377.70E-08  8455.28E-08
480000.E+02  7650.05E-08  6319.12E-08
490000.E+02  6022.67E-08  5090.81E-08
500000.E+02  4895.57E-08  5068.41E-08
510000.E+02  3429.58E-08  3393.51E-08
520000.E+02  2666.49E-08  2877.47E-08
530000.E+02  1907.99E-08  2044.95E-08
540000.E+02  1148.65E-08  1061.66E-08
550000.E+02  8476.04E-09  7246.23E-09
560000.E+02  5327.37E-09  4655.67E-09
570000.E+02  3340.30E-09  1191.19E-09
580000.E+02  2850.82E-09  1638.19E-09
590000.E+02  2377.70E-09  3571.05E-09
600000.E+02  1146.85E-09  1554.44E-09
610000.E+02  1471.85E-10  8476.08E-10
620000.E+02  0000.00E+00  2919.31E-10
630000.E+02  0000.00E+00  1281.49E-10
640000.E+02  0000.00E+00  0000.00E+00
650000.E+02  0000.00E+00  0000.00E+00
660000.E+02  0000.00E+00  0000.00E+00
670000.E+02  0000.00E+00  0000.00E+00
680000.E+02  0000.00E+00  0000.00E+00
690000.E+02  0000.00E+00  0000.00E+00
700000.E+02  0000.00E+00  0000.00E+00
710000.E+02  0000.00E+00  0000.00E+00
720000.E+02  0000.00E+00  0000.00E+00
730000.E+02  0000.00E+00  0000.00E+00
740000.E+02  0000.00E+00  0000.00E+00
750000.E+02  0000.00E+00  0000.00E+00
760000.E+02  0000.00E+00  0000.00E+00
770000.E+02  0000.00E+00  0000.00E+00
780000.E+02  0000.00E+00  0000.00E+00
790000.E+02  0000.00E+00  0000.00E+00
800000.E+02  0000.00E+00  0000.00E+00
810000.E+02  0000.00E+00  0000.00E+00
820000.E+02  0000.00E+00  0000.00E+00
830000.E+02  0000.00E+00  0000.00E+00
840000.E+02  0000.00E+00  0000.00E+00
850000.E+02  0000.00E+00  0000.00E+00
860000.E+02  0000.00E+00  0000.00E+00
870000.E+02  0000.00E+00  0000.00E+00
880000.E+02  0000.00E+00  0000.00E+00
890000.E+02  0000.00E+00  0000.00E+00
900000.E+02  0000.00E+00  0000.00E+00
910000.E+02  0000.00E+00  0000.00E+00
920000.E+02  0000.00E+00  0000.00E+00
930000.E+02  0000.00E+00  0000.00E+00
940000.E+02  0000.00E+00  0000.00E+00
950000.E+02  0000.00E+00  0000.00E+00
960000.E+02  0000.00E+00  0000.00E+00
970000.E+02  0000.00E+00  0000.00E+00
980000.E+02  0000.00E+00  0000.00E+00
990000.E+02  0000.00E+00  0000.00E+00
100000.E+03  0000.00E+00  0000.00E+00
