====== 30torr_200keV                            =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= He(50 keV) ==> 3Carbon Tetrafluoride (I(  6 mm) ===========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 50 keV
============= TARGET MATERIAL ======================================
Layer 1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width = 60000.E+03 A ;
  Layer # 1- Density = 1.060E19 atoms/cm3 = .0003 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
600000.E+00  1716.68E-06  6722.15E-09
120000.E+01  1702.14E-06  1452.42E-08
180000.E+01  1689.01E-06  9687.51E-09
240000.E+01  1674.67E-06  1098.59E-08
300000.E+01  1657.56E-06  8360.87E-09
360000.E+01  1644.04E-06  1254.10E-08
420000.E+01  1630.30E-06  1107.44E-08
480000.E+01  1621.79E-06  7440.28E-09
540000.E+01  1628.34E-06  1544.91E-08
600000.E+01  1604.63E-06  1722.12E-08
660000.E+01  1583.79E-06  1402.40E-08
720000.E+01  1557.38E-06  1423.61E-08
780000.E+01  1544.81E-06  1589.34E-08
840000.E+01  1522.84E-06  1269.90E-08
900000.E+01  1509.42E-06  1542.62E-08
960000.E+01  1492.21E-06  1085.16E-08
102000.E+02  1474.87E-06  1066.40E-08
108000.E+02  1469.27E-06  1230.96E-08
114000.E+02  1449.32E-06  9346.48E-09
120000.E+02  1431.73E-06  1269.50E-08
126000.E+02  1444.58E-06  1739.15E-08
132000.E+02  1418.14E-06  2029.37E-08
138000.E+02  1385.45E-06  2541.64E-08
144000.E+02  1377.94E-06  1603.75E-08
150000.E+02  1367.52E-06  2069.99E-08
156000.E+02  1350.03E-06  1725.46E-08
162000.E+02  1338.62E-06  1516.52E-08
168000.E+02  1310.18E-06  1260.63E-08
174000.E+02  1306.55E-06  1593.62E-08
180000.E+02  1292.90E-06  2129.60E-08
186000.E+02  1266.46E-06  3019.51E-08
192000.E+02  1243.61E-06  3844.95E-08
198000.E+02  1218.68E-06  2894.08E-08
204000.E+02  1200.23E-06  2695.22E-08
210000.E+02  1183.02E-06  3111.82E-08
216000.E+02  1168.60E-06  2654.76E-08
222000.E+02  1180.49E-06  2955.04E-08
228000.E+02  1143.69E-06  3513.84E-08
234000.E+02  1119.32E-06  2543.04E-08
240000.E+02  1113.24E-06  2979.24E-08
246000.E+02  1109.62E-06  4061.82E-08
252000.E+02  1090.05E-06  3466.14E-08
258000.E+02  1023.67E-06  3802.28E-08
264000.E+02  9657.22E-07  3237.49E-08
270000.E+02  9530.17E-07  3760.28E-08
276000.E+02  9388.58E-07  3232.86E-08
282000.E+02  9091.19E-07  4177.95E-08
288000.E+02  8466.52E-07  3313.65E-08
294000.E+02  8447.16E-07  3746.99E-08
300000.E+02  8119.38E-07  4386.48E-08
306000.E+02  7514.86E-07  4311.65E-08
312000.E+02  6836.89E-07  3215.71E-08
318000.E+02  6603.73E-07  4073.08E-08
324000.E+02  6131.99E-07  3731.19E-08
330000.E+02  5261.34E-07  3339.47E-08
336000.E+02  4642.91E-07  3611.18E-08
342000.E+02  4170.47E-07  2779.30E-08
348000.E+02  3665.29E-07  2568.22E-08
354000.E+02  3311.72E-07  2505.65E-08
360000.E+02  2947.45E-07  2335.70E-08
366000.E+02  2343.64E-07  2020.07E-08
372000.E+02  2070.18E-07  2078.09E-08
378000.E+02  1611.72E-07  1851.28E-08
384000.E+02  1241.50E-07  1335.16E-08
390000.E+02  8349.69E-08  1068.24E-08
396000.E+02  6364.70E-08  5704.60E-09
402000.E+02  4670.77E-08  5058.36E-09
408000.E+02  2852.41E-08  3247.36E-09
414000.E+02  1536.87E-08  2655.76E-09
420000.E+02  8542.32E-09  1681.47E-09
426000.E+02  2134.86E-09  3913.28E-10
432000.E+02  9563.67E-10  7571.26E-11
438000.E+02  5688.93E-10  6208.08E-11
444000.E+02  1024.27E-10  1190.68E-14
450000.E+02  0000.00E+00  0000.00E+00
456000.E+02  0000.00E+00  0000.00E+00
462000.E+02  0000.00E+00  0000.00E+00
468000.E+02  0000.00E+00  0000.00E+00
474000.E+02  0000.00E+00  0000.00E+00
480000.E+02  0000.00E+00  0000.00E+00
486000.E+02  0000.00E+00  0000.00E+00
492000.E+02  0000.00E+00  0000.00E+00
498000.E+02  0000.00E+00  0000.00E+00
504000.E+02  0000.00E+00  0000.00E+00
510000.E+02  0000.00E+00  0000.00E+00
516000.E+02  0000.00E+00  0000.00E+00
522000.E+02  0000.00E+00  0000.00E+00
528000.E+02  0000.00E+00  0000.00E+00
534000.E+02  0000.00E+00  0000.00E+00
540000.E+02  0000.00E+00  0000.00E+00
546000.E+02  0000.00E+00  0000.00E+00
552000.E+02  0000.00E+00  0000.00E+00
558000.E+02  0000.00E+00  0000.00E+00
564000.E+02  0000.00E+00  0000.00E+00
570000.E+02  0000.00E+00  0000.00E+00
576000.E+02  0000.00E+00  0000.00E+00
582000.E+02  0000.00E+00  0000.00E+00
588000.E+02  0000.00E+00  0000.00E+00
594000.E+02  0000.00E+00  0000.00E+00
600000.E+02  0000.00E+00  0000.00E+00
