====== F (125) into 3Carbon Tetrafluoride (ICRU =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  F(150 keV) ==> 3Carbon Tetrafluoride (I(  12 mm) =========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  F   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer 1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width = 12000.E+04 A ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
120000.E+01  1746.04E-06  1120.15E-07
240000.E+01  1734.13E-06  1543.42E-07
360000.E+01  1722.85E-06  2235.21E-07
480000.E+01  1710.69E-06  2022.50E-07
600000.E+01  1703.08E-06  1607.42E-07
720000.E+01  1687.92E-06  1764.18E-07
840000.E+01  1676.42E-06  1740.55E-07
960000.E+01  1664.28E-06  1988.43E-07
108000.E+02  1655.69E-06  2212.08E-07
120000.E+02  1647.65E-06  2193.09E-07
132000.E+02  1636.25E-06  2098.73E-07
144000.E+02  1628.59E-06  2379.72E-07
156000.E+02  1618.25E-06  2493.54E-07
168000.E+02  1614.96E-06  2395.63E-07
180000.E+02  1616.79E-06  2613.87E-07
192000.E+02  1582.49E-06  2650.75E-07
204000.E+02  1564.83E-06  3124.57E-07
216000.E+02  1561.59E-06  3043.41E-07
228000.E+02  1554.68E-06  2922.47E-07
240000.E+02  1527.03E-06  3174.66E-07
252000.E+02  1514.00E-06  3047.02E-07
264000.E+02  1513.58E-06  3011.97E-07
276000.E+02  1490.59E-06  3267.18E-07
288000.E+02  1485.61E-06  3404.90E-07
300000.E+02  1464.44E-06  3409.42E-07
312000.E+02  1461.95E-06  3581.78E-07
324000.E+02  1437.11E-06  3625.93E-07
336000.E+02  1425.18E-06  3790.40E-07
348000.E+02  1385.00E-06  4005.62E-07
360000.E+02  1356.29E-06  4043.36E-07
372000.E+02  1336.57E-06  3992.27E-07
384000.E+02  1302.74E-06  3625.48E-07
396000.E+02  1261.73E-06  3998.36E-07
408000.E+02  1223.13E-06  4056.16E-07
420000.E+02  1201.48E-06  3866.69E-07
432000.E+02  1159.86E-06  4087.41E-07
444000.E+02  1102.07E-06  3907.01E-07
456000.E+02  1057.13E-06  3728.97E-07
468000.E+02  1032.89E-06  3637.10E-07
480000.E+02  9819.43E-07  3925.50E-07
492000.E+02  9139.15E-07  3947.12E-07
504000.E+02  8561.56E-07  3888.54E-07
516000.E+02  7861.13E-07  3271.67E-07
528000.E+02  7325.94E-07  3217.60E-07
540000.E+02  6617.44E-07  3263.53E-07
552000.E+02  6095.91E-07  3057.54E-07
564000.E+02  5692.12E-07  2970.36E-07
576000.E+02  5090.72E-07  2805.43E-07
588000.E+02  4449.23E-07  2483.71E-07
600000.E+02  4118.44E-07  2389.99E-07
612000.E+02  3551.13E-07  1946.83E-07
624000.E+02  2983.93E-07  1668.06E-07
636000.E+02  2559.69E-07  1738.37E-07
648000.E+02  2240.04E-07  1485.22E-07
660000.E+02  1949.67E-07  1153.70E-07
672000.E+02  1539.17E-07  8375.69E-08
684000.E+02  1277.39E-07  7576.23E-08
696000.E+02  1037.45E-07  8177.06E-08
708000.E+02  8210.42E-08  5740.83E-08
720000.E+02  6543.34E-08  5040.05E-08
732000.E+02  4854.99E-08  3785.33E-08
744000.E+02  3969.80E-08  3265.86E-08
756000.E+02  2949.81E-08  2679.15E-08
768000.E+02  1758.87E-08  1371.61E-08
780000.E+02  1147.63E-08  1482.60E-08
792000.E+02  5337.99E-09  9185.61E-09
804000.E+02  2232.65E-09  4303.50E-09
816000.E+02  1170.87E-09  2330.55E-09
828000.E+02  4509.60E-10  1055.13E-09
840000.E+02  1396.67E-10  2327.49E-10
852000.E+02  0000.00E+00  0000.00E+00
864000.E+02  0000.00E+00  0000.00E+00
876000.E+02  0000.00E+00  0000.00E+00
888000.E+02  0000.00E+00  0000.00E+00
900000.E+02  0000.00E+00  0000.00E+00
912000.E+02  0000.00E+00  0000.00E+00
924000.E+02  0000.00E+00  0000.00E+00
936000.E+02  0000.00E+00  0000.00E+00
948000.E+02  0000.00E+00  0000.00E+00
960000.E+02  0000.00E+00  0000.00E+00
972000.E+02  0000.00E+00  0000.00E+00
984000.E+02  0000.00E+00  0000.00E+00
996000.E+02  0000.00E+00  0000.00E+00
100800.E+03  0000.00E+00  0000.00E+00
102000.E+03  0000.00E+00  0000.00E+00
103200.E+03  0000.00E+00  0000.00E+00
104400.E+03  0000.00E+00  0000.00E+00
105600.E+03  0000.00E+00  0000.00E+00
106800.E+03  0000.00E+00  0000.00E+00
108000.E+03  0000.00E+00  0000.00E+00
109200.E+03  0000.00E+00  0000.00E+00
110400.E+03  0000.00E+00  0000.00E+00
111600.E+03  0000.00E+00  0000.00E+00
112800.E+03  0000.00E+00  0000.00E+00
114000.E+03  0000.00E+00  0000.00E+00
115200.E+03  0000.00E+00  0000.00E+00
116400.E+03  0000.00E+00  0000.00E+00
117600.E+03  0000.00E+00  0000.00E+00
118800.E+03  0000.00E+00  0000.00E+00
120000.E+03  0000.00E+00  0000.00E+00
