====== 30torr_50keV                             =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  F(50 keV) ==> 3Carbon Tetrafluoride (I(  5 mm) ===========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  F   Energy = 50 keV
============= TARGET MATERIAL ======================================
Layer 1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width = 50000.E+03 A ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500000.E+00  1212.66E-06  1110.44E-07
100000.E+01  1204.67E-06  1811.17E-07
150000.E+01  1195.80E-06  2534.28E-07
200000.E+01  1177.57E-06  3109.38E-07
250000.E+01  1165.76E-06  3165.37E-07
300000.E+01  1145.15E-06  3257.44E-07
350000.E+01  1130.28E-06  3453.71E-07
400000.E+01  1121.30E-06  3415.96E-07
450000.E+01  1104.87E-06  3538.54E-07
500000.E+01  1087.49E-06  3497.83E-07
550000.E+01  1065.46E-06  3653.69E-07
600000.E+01  1049.93E-06  3968.04E-07
650000.E+01  1030.47E-06  4289.88E-07
700000.E+01  1016.05E-06  4020.02E-07
750000.E+01  1014.36E-06  4360.62E-07
800000.E+01  9777.40E-07  4282.84E-07
850000.E+01  9415.94E-07  4522.60E-07
900000.E+01  9366.24E-07  4605.28E-07
950000.E+01  9013.67E-07  4349.71E-07
100000.E+02  8633.42E-07  4398.21E-07
105000.E+02  8327.54E-07  4808.42E-07
110000.E+02  8229.71E-07  4412.74E-07
115000.E+02  7941.33E-07  4495.89E-07
120000.E+02  7733.34E-07  4202.13E-07
125000.E+02  7498.26E-07  4047.52E-07
130000.E+02  7125.05E-07  4021.10E-07
135000.E+02  6861.72E-07  4169.59E-07
140000.E+02  6537.02E-07  3909.05E-07
145000.E+02  6283.07E-07  3910.13E-07
150000.E+02  5888.56E-07  4261.04E-07
155000.E+02  5443.90E-07  4021.18E-07
160000.E+02  5072.73E-07  4012.07E-07
165000.E+02  4802.13E-07  3594.62E-07
170000.E+02  4705.92E-07  3489.02E-07
175000.E+02  4286.85E-07  3655.34E-07
180000.E+02  3897.72E-07  3303.58E-07
185000.E+02  3607.99E-07  2965.16E-07
190000.E+02  3317.05E-07  3075.53E-07
195000.E+02  2966.73E-07  2800.88E-07
200000.E+02  2687.35E-07  2588.14E-07
205000.E+02  2329.17E-07  2201.02E-07
210000.E+02  2077.83E-07  2009.08E-07
215000.E+02  1763.36E-07  1943.89E-07
220000.E+02  1610.69E-07  1577.05E-07
225000.E+02  1437.96E-07  1342.21E-07
230000.E+02  1223.39E-07  1163.70E-07
235000.E+02  1114.33E-07  1007.67E-07
240000.E+02  9318.66E-08  9268.55E-08
245000.E+02  7792.10E-08  6612.09E-08
250000.E+02  6939.08E-08  6432.24E-08
255000.E+02  5478.86E-08  5370.45E-08
260000.E+02  4503.25E-08  4145.58E-08
265000.E+02  3467.51E-08  3205.08E-08
270000.E+02  3348.18E-08  3185.44E-08
275000.E+02  2678.75E-08  3011.21E-08
280000.E+02  2357.27E-08  2605.08E-08
285000.E+02  1504.09E-08  1495.86E-08
290000.E+02  1068.46E-08  1301.11E-08
295000.E+02  8840.33E-09  1457.24E-08
300000.E+02  7650.69E-09  1368.01E-08
305000.E+02  4538.81E-09  5265.42E-09
310000.E+02  2414.16E-09  5314.39E-09
315000.E+02  1314.70E-09  2185.92E-09
320000.E+02  8448.19E-10  9472.05E-10
325000.E+02  7205.45E-10  8223.47E-10
330000.E+02  7252.38E-11  3298.08E-10
335000.E+02  0000.00E+00  0000.00E+00
340000.E+02  0000.00E+00  0000.00E+00
345000.E+02  0000.00E+00  0000.00E+00
350000.E+02  0000.00E+00  0000.00E+00
355000.E+02  0000.00E+00  0000.00E+00
360000.E+02  0000.00E+00  0000.00E+00
365000.E+02  0000.00E+00  0000.00E+00
370000.E+02  0000.00E+00  0000.00E+00
375000.E+02  0000.00E+00  0000.00E+00
380000.E+02  0000.00E+00  0000.00E+00
385000.E+02  0000.00E+00  0000.00E+00
390000.E+02  0000.00E+00  0000.00E+00
395000.E+02  0000.00E+00  0000.00E+00
400000.E+02  0000.00E+00  0000.00E+00
405000.E+02  0000.00E+00  0000.00E+00
410000.E+02  0000.00E+00  0000.00E+00
415000.E+02  0000.00E+00  0000.00E+00
420000.E+02  0000.00E+00  0000.00E+00
425000.E+02  0000.00E+00  0000.00E+00
430000.E+02  0000.00E+00  0000.00E+00
435000.E+02  0000.00E+00  0000.00E+00
440000.E+02  0000.00E+00  0000.00E+00
445000.E+02  0000.00E+00  0000.00E+00
450000.E+02  0000.00E+00  0000.00E+00
455000.E+02  0000.00E+00  0000.00E+00
460000.E+02  0000.00E+00  0000.00E+00
465000.E+02  0000.00E+00  0000.00E+00
470000.E+02  0000.00E+00  0000.00E+00
475000.E+02  0000.00E+00  0000.00E+00
480000.E+02  0000.00E+00  0000.00E+00
485000.E+02  0000.00E+00  0000.00E+00
490000.E+02  0000.00E+00  0000.00E+00
495000.E+02  0000.00E+00  0000.00E+00
500000.E+02  0000.00E+00  0000.00E+00
