====== F (50) into 3Carbon Tetrafluoride (ICRU- =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  F(5 keV) ==> 3Carbon Tetrafluoride (I(  1 mm) ============
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  F   Energy = 5 keV
============= TARGET MATERIAL ======================================
Layer 1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width = 10000.E+03 A ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100000.E+00  3614.90E-07  1042.42E-07
200000.E+00  3593.09E-07  1815.93E-07
300000.E+00  3576.19E-07  2074.26E-07
400000.E+00  3553.20E-07  2506.26E-07
500000.E+00  3433.97E-07  2965.22E-07
600000.E+00  3357.66E-07  3031.36E-07
700000.E+00  3314.50E-07  3244.33E-07
800000.E+00  3184.11E-07  3360.34E-07
900000.E+00  3048.66E-07  3385.11E-07
100000.E+01  2954.01E-07  3305.81E-07
110000.E+01  2795.94E-07  3416.51E-07
120000.E+01  2663.76E-07  3213.27E-07
130000.E+01  2484.71E-07  3174.31E-07
140000.E+01  2269.77E-07  3159.36E-07
150000.E+01  2158.27E-07  2953.32E-07
160000.E+01  2031.66E-07  2728.92E-07
170000.E+01  1921.52E-07  2621.87E-07
180000.E+01  1768.00E-07  2553.35E-07
190000.E+01  1581.36E-07  2320.70E-07
200000.E+01  1397.66E-07  2252.49E-07
210000.E+01  1209.87E-07  2187.38E-07
220000.E+01  1118.43E-07  2017.45E-07
230000.E+01  9812.49E-08  1736.29E-07
240000.E+01  8620.07E-08  1597.03E-07
250000.E+01  7070.34E-08  1310.43E-07
260000.E+01  6162.28E-08  1082.10E-07
270000.E+01  5576.12E-08  9935.59E-08
280000.E+01  5089.34E-08  9112.84E-08
290000.E+01  4123.41E-08  7743.75E-08
300000.E+01  3353.90E-08  6211.10E-08
310000.E+01  3026.47E-08  5101.83E-08
320000.E+01  2471.18E-08  4166.79E-08
330000.E+01  2207.45E-08  3198.44E-08
340000.E+01  2030.70E-08  3479.06E-08
350000.E+01  1618.80E-08  2819.78E-08
360000.E+01  1354.08E-08  2510.95E-08
370000.E+01  1236.36E-08  1961.19E-08
380000.E+01  9259.54E-09  1873.74E-08
390000.E+01  7374.51E-09  1452.57E-08
400000.E+01  5867.65E-09  1285.72E-08
410000.E+01  5161.57E-09  1005.22E-08
420000.E+01  2843.62E-09  7429.89E-09
430000.E+01  2020.95E-09  5124.65E-09
440000.E+01  1806.69E-09  3656.12E-09
450000.E+01  1022.23E-09  2218.83E-09
460000.E+01  4900.74E-10  1366.19E-09
470000.E+01  4066.06E-10  1039.39E-09
480000.E+01  3649.19E-10  1023.60E-09
490000.E+01  3550.41E-10  9653.19E-10
500000.E+01  3723.93E-10  7578.91E-10
510000.E+01  7347.83E-14  3804.71E-10
520000.E+01  0000.00E+00  1442.21E-10
530000.E+01  0000.00E+00  1822.11E-11
540000.E+01  0000.00E+00  0000.00E+00
550000.E+01  0000.00E+00  0000.00E+00
560000.E+01  0000.00E+00  0000.00E+00
570000.E+01  0000.00E+00  0000.00E+00
580000.E+01  0000.00E+00  0000.00E+00
590000.E+01  0000.00E+00  0000.00E+00
600000.E+01  0000.00E+00  0000.00E+00
610000.E+01  0000.00E+00  0000.00E+00
620000.E+01  0000.00E+00  0000.00E+00
630000.E+01  0000.00E+00  0000.00E+00
640000.E+01  0000.00E+00  0000.00E+00
650000.E+01  0000.00E+00  0000.00E+00
660000.E+01  0000.00E+00  0000.00E+00
670000.E+01  0000.00E+00  0000.00E+00
680000.E+01  0000.00E+00  0000.00E+00
690000.E+01  0000.00E+00  0000.00E+00
700000.E+01  0000.00E+00  0000.00E+00
710000.E+01  0000.00E+00  0000.00E+00
720000.E+01  0000.00E+00  0000.00E+00
730000.E+01  0000.00E+00  0000.00E+00
740000.E+01  0000.00E+00  0000.00E+00
750000.E+01  0000.00E+00  0000.00E+00
760000.E+01  0000.00E+00  0000.00E+00
770000.E+01  0000.00E+00  0000.00E+00
780000.E+01  0000.00E+00  0000.00E+00
790000.E+01  0000.00E+00  0000.00E+00
800000.E+01  0000.00E+00  0000.00E+00
810000.E+01  0000.00E+00  0000.00E+00
820000.E+01  0000.00E+00  0000.00E+00
830000.E+01  0000.00E+00  0000.00E+00
840000.E+01  0000.00E+00  0000.00E+00
850000.E+01  0000.00E+00  0000.00E+00
860000.E+01  0000.00E+00  0000.00E+00
870000.E+01  0000.00E+00  0000.00E+00
880000.E+01  0000.00E+00  0000.00E+00
890000.E+01  0000.00E+00  0000.00E+00
900000.E+01  0000.00E+00  0000.00E+00
910000.E+01  0000.00E+00  0000.00E+00
920000.E+01  0000.00E+00  0000.00E+00
930000.E+01  0000.00E+00  0000.00E+00
940000.E+01  0000.00E+00  0000.00E+00
950000.E+01  0000.00E+00  0000.00E+00
960000.E+01  0000.00E+00  0000.00E+00
970000.E+01  0000.00E+00  0000.00E+00
980000.E+01  0000.00E+00  0000.00E+00
990000.E+01  0000.00E+00  0000.00E+00
100000.E+02  0000.00E+00  0000.00E+00
