====== F (125) into 3Carbon Tetrafluoride (ICRU =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  F(125 keV) ==> 3Carbon Tetrafluoride (I(  10 mm) =========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  F   Energy = 125 keV
============= TARGET MATERIAL ======================================
Layer  1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width =     1.E+08 AAA ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =1000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100000.E+01  227908.E-10  280873.E-09
200000.E+01  236703.E-10  372349.E-09
300000.E+01  242585.E-10  410292.E-09
400000.E+01  251777.E-10  368687.E-09
500000.E+01  252330.E-10  422981.E-09
600000.E+01  247194.E-10  440825.E-09
700000.E+01  245128.E-10  439892.E-09
800000.E+01  271179.E-10  480026.E-09
900000.E+01  274872.E-10  493904.E-09
100000.E+02  268578.E-10  510732.E-09
110000.E+02  274377.E-10  559896.E-09
120000.E+02  286360.E-10  529771.E-09
130000.E+02  287214.E-10  546462.E-09
140000.E+02  287950.E-10  593182.E-09
150000.E+02  285476.E-10  578295.E-09
160000.E+02  281509.E-10  561902.E-09
170000.E+02  288268.E-10  574680.E-09
180000.E+02  295527.E-10  600747.E-09
190000.E+02  306671.E-10  619677.E-09
200000.E+02  303411.E-10  634349.E-09
210000.E+02  316413.E-10  657726.E-09
220000.E+02  331893.E-10  680284.E-09
230000.E+02  336148.E-10  635683.E-09
240000.E+02  338429.E-10  711310.E-09
250000.E+02  353904.E-10  737674.E-09
260000.E+02  346822.E-10  799927.E-09
270000.E+02  366844.E-10  827059.E-09
280000.E+02  380041.E-10  867274.E-09
290000.E+02  375491.E-10  826951.E-09
300000.E+02  390644.E-10  898214.E-09
310000.E+02  412015.E-10  924578.E-09
320000.E+02  399714.E-10  942251.E-09
330000.E+02  405018.E-10  900574.E-09
340000.E+02  422802.E-10  995903.E-09
350000.E+02  414928.E-10  990849.E-09
360000.E+02  398701.E-10  871926.E-09
370000.E+02  413034.E-10  900553.E-09
380000.E+02  416119.E-10  940773.E-09
390000.E+02  422046.E-10  864700.E-09
400000.E+02  429541.E-10  905137.E-09
410000.E+02  417803.E-10  900528.E-09
420000.E+02  426240.E-10  931243.E-09
430000.E+02  394263.E-10  892704.E-09
440000.E+02  387090.E-10  868984.E-09
450000.E+02  386551.E-10  866595.E-09
460000.E+02  396435.E-10  795552.E-09
470000.E+02  362250.E-10  766143.E-09
480000.E+02  330969.E-10  765809.E-09
490000.E+02  338068.E-10  739198.E-09
500000.E+02  332799.E-10  704764.E-09
510000.E+02  294355.E-10  662051.E-09
520000.E+02  244241.E-10  557913.E-09
530000.E+02  268905.E-10  477329.E-09
540000.E+02  210606.E-10  494392.E-09
550000.E+02  206283.E-10  429912.E-09
560000.E+02  200715.E-10  387219.E-09
570000.E+02  171533.E-10  342798.E-09
580000.E+02  154297.E-10  294452.E-09
590000.E+02  136957.E-10  245654.E-09
600000.E+02  954395.E-11  210358.E-09
610000.E+02  757972.E-11  140108.E-09
620000.E+02  671760.E-11  121322.E-09
630000.E+02  640890.E-11  122275.E-09
640000.E+02  439642.E-11  610903.E-10
650000.E+02  239402.E-11  438897.E-10
660000.E+02  113360.E-11  240745.E-10
670000.E+02  797875.E-12  761815.E-11
680000.E+02  135978.E-11  150960.E-10
690000.E+02  649388.E-12  151198.E-10
700000.E+02  613835.E-12  424395.E-11
710000.E+02  469236.E-12  458293.E-11
720000.E+02  983948.E-13  169099.E-11
730000.E+02  118875.E-12  122429.E-12
740000.E+02  000000.E+00  000000.E+00
750000.E+02  000000.E+00  000000.E+00
760000.E+02  000000.E+00  000000.E+00
770000.E+02  000000.E+00  000000.E+00
780000.E+02  000000.E+00  000000.E+00
790000.E+02  000000.E+00  000000.E+00
800000.E+02  000000.E+00  000000.E+00
810000.E+02  000000.E+00  000000.E+00
820000.E+02  000000.E+00  000000.E+00
830000.E+02  000000.E+00  000000.E+00
840000.E+02  000000.E+00  000000.E+00
850000.E+02  000000.E+00  000000.E+00
860000.E+02  000000.E+00  000000.E+00
870000.E+02  000000.E+00  000000.E+00
880000.E+02  000000.E+00  000000.E+00
890000.E+02  000000.E+00  000000.E+00
900000.E+02  000000.E+00  000000.E+00
910000.E+02  000000.E+00  000000.E+00
920000.E+02  000000.E+00  000000.E+00
930000.E+02  000000.E+00  000000.E+00
940000.E+02  000000.E+00  000000.E+00
950000.E+02  000000.E+00  000000.E+00
960000.E+02  000000.E+00  000000.E+00
970000.E+02  000000.E+00  000000.E+00
980000.E+02  000000.E+00  000000.E+00
990000.E+02  000000.E+00  000000.E+00
100000.E+03  000000.E+00  000000.E+00
