====== F (125) into 3Carbon Tetrafluoride (ICRU =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  F(25 keV) ==> 3Carbon Tetrafluoride (I(  4 mm) ===========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  F   Energy = 25 keV
============= TARGET MATERIAL ======================================
Layer  1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width =     4.E+07 AAA ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =1000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400000.E+00  431748.E-10  517299.E-09
800000.E+00  439011.E-10  752547.E-09
120000.E+01  486329.E-10  847119.E-09
160000.E+01  486177.E-10  957253.E-09
200000.E+01  546808.E-10  109226.E-08
240000.E+01  518796.E-10  107863.E-08
280000.E+01  564165.E-10  116542.E-08
320000.E+01  551382.E-10  109586.E-08
360000.E+01  595408.E-10  115891.E-08
400000.E+01  577288.E-10  117889.E-08
440000.E+01  609346.E-10  125350.E-08
480000.E+01  652243.E-10  123625.E-08
520000.E+01  639560.E-10  128418.E-08
560000.E+01  687858.E-10  133754.E-08
600000.E+01  708782.E-10  133598.E-08
640000.E+01  661487.E-10  129960.E-08
680000.E+01  651214.E-10  132572.E-08
720000.E+01  625204.E-10  124179.E-08
760000.E+01  612874.E-10  121502.E-08
800000.E+01  618552.E-10  110269.E-08
840000.E+01  639818.E-10  114373.E-08
880000.E+01  559129.E-10  104772.E-08
920000.E+01  545946.E-10  100644.E-08
960000.E+01  512968.E-10  884173.E-09
100000.E+02  481257.E-10  787745.E-09
104000.E+02  440830.E-10  737012.E-09
108000.E+02  372822.E-10  663196.E-09
112000.E+02  361149.E-10  598821.E-09
116000.E+02  336466.E-10  583302.E-09
120000.E+02  282734.E-10  486030.E-09
124000.E+02  258389.E-10  403865.E-09
128000.E+02  222650.E-10  334658.E-09
132000.E+02  191823.E-10  295401.E-09
136000.E+02  168690.E-10  251955.E-09
140000.E+02  143590.E-10  183660.E-09
144000.E+02  101430.E-10  154716.E-09
148000.E+02  968655.E-11  110502.E-09
152000.E+02  797685.E-11  823363.E-10
156000.E+02  501998.E-11  692213.E-10
160000.E+02  346123.E-11  548664.E-10
164000.E+02  272739.E-11  370475.E-10
168000.E+02  191540.E-11  305598.E-10
172000.E+02  120276.E-11  187895.E-10
176000.E+02  492706.E-12  114274.E-10
180000.E+02  134307.E-11  120527.E-10
184000.E+02  607330.E-12  785993.E-11
188000.E+02  271713.E-12  333878.E-11
192000.E+02  184342.E-12  368807.E-11
196000.E+02  000000.E+00  190541.E-12
200000.E+02  000000.E+00  000000.E+00
204000.E+02  000000.E+00  000000.E+00
208000.E+02  000000.E+00  000000.E+00
212000.E+02  000000.E+00  000000.E+00
216000.E+02  000000.E+00  000000.E+00
220000.E+02  000000.E+00  000000.E+00
224000.E+02  000000.E+00  000000.E+00
228000.E+02  000000.E+00  000000.E+00
232000.E+02  000000.E+00  000000.E+00
236000.E+02  000000.E+00  000000.E+00
240000.E+02  000000.E+00  000000.E+00
244000.E+02  000000.E+00  000000.E+00
248000.E+02  000000.E+00  000000.E+00
252000.E+02  000000.E+00  000000.E+00
256000.E+02  000000.E+00  000000.E+00
260000.E+02  000000.E+00  000000.E+00
264000.E+02  000000.E+00  000000.E+00
268000.E+02  000000.E+00  000000.E+00
272000.E+02  000000.E+00  000000.E+00
276000.E+02  000000.E+00  000000.E+00
280000.E+02  000000.E+00  000000.E+00
284000.E+02  000000.E+00  000000.E+00
288000.E+02  000000.E+00  000000.E+00
292000.E+02  000000.E+00  000000.E+00
296000.E+02  000000.E+00  000000.E+00
300000.E+02  000000.E+00  000000.E+00
304000.E+02  000000.E+00  000000.E+00
308000.E+02  000000.E+00  000000.E+00
312000.E+02  000000.E+00  000000.E+00
316000.E+02  000000.E+00  000000.E+00
320000.E+02  000000.E+00  000000.E+00
324000.E+02  000000.E+00  000000.E+00
328000.E+02  000000.E+00  000000.E+00
332000.E+02  000000.E+00  000000.E+00
336000.E+02  000000.E+00  000000.E+00
340000.E+02  000000.E+00  000000.E+00
344000.E+02  000000.E+00  000000.E+00
348000.E+02  000000.E+00  000000.E+00
352000.E+02  000000.E+00  000000.E+00
356000.E+02  000000.E+00  000000.E+00
360000.E+02  000000.E+00  000000.E+00
364000.E+02  000000.E+00  000000.E+00
368000.E+02  000000.E+00  000000.E+00
372000.E+02  000000.E+00  000000.E+00
376000.E+02  000000.E+00  000000.E+00
380000.E+02  000000.E+00  000000.E+00
384000.E+02  000000.E+00  000000.E+00
388000.E+02  000000.E+00  000000.E+00
392000.E+02  000000.E+00  000000.E+00
396000.E+02  000000.E+00  000000.E+00
400000.E+02  000000.E+00  000000.E+00
