====== 30torr_75keV                             =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  F(75 keV) ==> 3Carbon Tetrafluoride (I(  7 mm) ===========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  F   Energy = 75 keV
============= TARGET MATERIAL ======================================
Layer  1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width =     7.E+07 AAA ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =1000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
700000.E+00  284933.E-10  357791.E-09
140000.E+01  293296.E-10  446387.E-09
210000.E+01  295718.E-10  483801.E-09
280000.E+01  286057.E-10  577162.E-09
350000.E+01  314317.E-10  571868.E-09
420000.E+01  313095.E-10  565022.E-09
490000.E+01  331122.E-10  654900.E-09
560000.E+01  326573.E-10  688689.E-09
630000.E+01  330331.E-10  663325.E-09
700000.E+01  329210.E-10  665131.E-09
770000.E+01  354688.E-10  699333.E-09
840000.E+01  367590.E-10  742468.E-09
910000.E+01  354848.E-10  749022.E-09
980000.E+01  363979.E-10  827975.E-09
105000.E+02  377143.E-10  829517.E-09
112000.E+02  373976.E-10  827296.E-09
119000.E+02  394814.E-10  867876.E-09
126000.E+02  405088.E-10  923238.E-09
133000.E+02  414158.E-10  892878.E-09
140000.E+02  417803.E-10  938330.E-09
147000.E+02  425944.E-10  917920.E-09
154000.E+02  446620.E-10  100938.E-08
161000.E+02  461722.E-10  107645.E-08
168000.E+02  467752.E-10  111633.E-08
175000.E+02  478503.E-10  117137.E-08
182000.E+02  477390.E-10  103087.E-08
189000.E+02  477312.E-10  104028.E-08
196000.E+02  503206.E-10  101401.E-08
203000.E+02  472408.E-10  998198.E-09
210000.E+02  516481.E-10  109355.E-08
217000.E+02  500214.E-10  109930.E-08
224000.E+02  467018.E-10  106102.E-08
231000.E+02  469746.E-10  100552.E-08
238000.E+02  430682.E-10  104946.E-08
245000.E+02  445797.E-10  103426.E-08
252000.E+02  462490.E-10  105130.E-08
259000.E+02  451914.E-10  100242.E-08
266000.E+02  409331.E-10  925811.E-09
273000.E+02  392305.E-10  856348.E-09
280000.E+02  376666.E-10  770924.E-09
287000.E+02  324044.E-10  672979.E-09
294000.E+02  349416.E-10  670778.E-09
301000.E+02  320164.E-10  621758.E-09
308000.E+02  294349.E-10  596992.E-09
315000.E+02  290841.E-10  554964.E-09
322000.E+02  282936.E-10  546810.E-09
329000.E+02  261732.E-10  506459.E-09
336000.E+02  224771.E-10  446147.E-09
343000.E+02  202364.E-10  379642.E-09
350000.E+02  192815.E-10  355166.E-09
357000.E+02  175044.E-10  302785.E-09
364000.E+02  154973.E-10  293749.E-09
371000.E+02  100875.E-10  213557.E-09
378000.E+02  115576.E-10  181705.E-09
385000.E+02  842934.E-11  158153.E-09
392000.E+02  682067.E-11  111618.E-09
399000.E+02  502898.E-11  936670.E-10
406000.E+02  316916.E-11  786741.E-10
413000.E+02  330882.E-11  553189.E-10
420000.E+02  276928.E-11  528626.E-10
427000.E+02  239566.E-11  436763.E-10
434000.E+02  146427.E-11  259379.E-10
441000.E+02  863717.E-12  131110.E-10
448000.E+02  646323.E-12  955814.E-11
455000.E+02  490756.E-12  100101.E-10
462000.E+02  466940.E-12  726640.E-11
469000.E+02  106889.E-11  924149.E-11
476000.E+02  328033.E-12  794841.E-11
483000.E+02  285915.E-12  628429.E-11
490000.E+02  000000.E+00  831881.E-12
497000.E+02  000000.E+00  000000.E+00
504000.E+02  000000.E+00  000000.E+00
511000.E+02  000000.E+00  000000.E+00
518000.E+02  000000.E+00  000000.E+00
525000.E+02  000000.E+00  000000.E+00
532000.E+02  000000.E+00  000000.E+00
539000.E+02  000000.E+00  000000.E+00
546000.E+02  000000.E+00  000000.E+00
553000.E+02  000000.E+00  000000.E+00
560000.E+02  000000.E+00  000000.E+00
567000.E+02  000000.E+00  000000.E+00
574000.E+02  000000.E+00  000000.E+00
581000.E+02  000000.E+00  000000.E+00
588000.E+02  000000.E+00  000000.E+00
595000.E+02  000000.E+00  000000.E+00
602000.E+02  000000.E+00  000000.E+00
609000.E+02  000000.E+00  000000.E+00
616000.E+02  000000.E+00  000000.E+00
623000.E+02  000000.E+00  000000.E+00
630000.E+02  000000.E+00  000000.E+00
637000.E+02  000000.E+00  000000.E+00
644000.E+02  000000.E+00  000000.E+00
651000.E+02  000000.E+00  000000.E+00
658000.E+02  000000.E+00  000000.E+00
665000.E+02  000000.E+00  000000.E+00
672000.E+02  000000.E+00  000000.E+00
679000.E+02  000000.E+00  000000.E+00
686000.E+02  000000.E+00  000000.E+00
693000.E+02  000000.E+00  000000.E+00
700000.E+02  000000.E+00  000000.E+00
