 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3.0000E-04 g/cm3 = 1.0264E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.278E-04  9.807E-04    8637 A      7019 A      4876 A   
    1.2 eV    1.278E-04  1.034E-03    9021 A      6982 A      5333 A   
    1.3 eV    1.330E-04  1.086E-03    9378 A      7249 A      5566 A   
    1.4 eV    1.380E-04  1.136E-03    9713 A      7510 A      5788 A   
    1.5 eV    1.429E-04  1.185E-03    1.00 um     7765 A      6001 A   
    1.6 eV    1.476E-04  1.232E-03    1.03 um     8013 A      6206 A   
    1.7 eV    1.521E-04  1.278E-03    1.06 um     8254 A      6403 A   
    1.8 eV    1.565E-04  1.322E-03    1.09 um     8488 A      6593 A   
      2 eV    1.650E-04  1.408E-03    1.14 um     8938 A      6954 A   
   2.25 eV    1.750E-04  1.510E-03    1.20 um     9469 A      7374 A   
2.49999 eV    1.844E-04  1.606E-03    1.26 um     9969 A      7766 A   
2.74999 eV    1.934E-04  1.698E-03    1.31 um     1.04 um     8134 A   
2.99999 eV    2.020E-04  1.786E-03    1.36 um     1.09 um     8480 A   
3.24999 eV    2.103E-04  1.871E-03    1.41 um     1.13 um     8809 A   
3.49999 eV    2.182E-04  1.952E-03    1.45 um     1.17 um     9123 A   
3.74999 eV    2.259E-04  2.031E-03    1.50 um     1.21 um     9423 A   
3.99999 eV    2.333E-04  2.107E-03    1.54 um     1.25 um     9710 A   
