 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4_30torr.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.706E-05  5.067E-04    1.67 um     1.36 um     9421 A   
    1.2 eV    6.706E-05  5.345E-04    1.74 um     1.35 um     1.03 um  
    1.3 eV    6.980E-05  5.613E-04    1.81 um     1.40 um     1.08 um  
    1.4 eV    7.244E-05  5.871E-04    1.88 um     1.45 um     1.12 um  
    1.5 eV    7.498E-05  6.122E-04    1.94 um     1.50 um     1.16 um  
    1.6 eV    7.744E-05  6.365E-04    2.00 um     1.55 um     1.20 um  
    1.7 eV    7.982E-05  6.601E-04    2.05 um     1.60 um     1.24 um  
    1.8 eV    8.214E-05  6.831E-04    2.11 um     1.64 um     1.27 um  
      2 eV    8.658E-05  7.274E-04    2.21 um     1.73 um     1.34 um  
   2.25 eV    9.183E-05  7.800E-04    2.32 um     1.83 um     1.42 um  
2.49999 eV    9.680E-05  8.299E-04    2.43 um     1.93 um     1.50 um  
2.74999 eV    1.015E-04  8.774E-04    2.54 um     2.02 um     1.57 um  
2.99999 eV    1.060E-04  9.229E-04    2.63 um     2.10 um     1.64 um  
3.24999 eV    1.104E-04  9.666E-04    2.72 um     2.19 um     1.70 um  
3.49999 eV    1.145E-04  1.009E-03    2.81 um     2.27 um     1.76 um  
3.74999 eV    1.186E-04  1.049E-03    2.90 um     2.34 um     1.82 um  
