 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\f_in_cf4 (gas).txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  3.0000E-04 g/cm3 = 1.0264E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.085E-04  1.185E-03    9202 A      6032 A      4211 A   
    1.2 eV    1.085E-04  1.252E-03    9607 A      6288 A      4411 A   
    1.3 eV    1.130E-04  1.317E-03    9986 A      6525 A      4609 A   
    1.4 eV    1.172E-04  1.379E-03    1.03 um     6753 A      4801 A   
    1.5 eV    1.213E-04  1.440E-03    1.07 um     6974 A      4985 A   
    1.6 eV    1.253E-04  1.500E-03    1.10 um     7188 A      5162 A   
    1.7 eV    1.292E-04  1.557E-03    1.13 um     7397 A      5332 A   
    1.8 eV    1.329E-04  1.614E-03    1.16 um     7600 A      5496 A   
      2 eV    1.401E-04  1.722E-03    1.22 um     7987 A      5810 A   
   2.25 eV    1.486E-04  1.852E-03    1.28 um     8447 A      6173 A   
2.49999 eV    1.566E-04  1.975E-03    1.34 um     8883 A      6509 A   
2.74999 eV    1.643E-04  2.093E-03    1.40 um     9296 A      6824 A   
2.99999 eV    1.716E-04  2.206E-03    1.45 um     9690 A      7120 A   
3.24999 eV    1.786E-04  2.315E-03    1.50 um     1.01 um     7401 A   
3.49999 eV    1.854E-04  2.420E-03    1.55 um     1.04 um     7667 A   
3.74999 eV    1.919E-04  2.522E-03    1.59 um     1.08 um     7921 A   
3.99999 eV    1.981E-04  2.621E-03    1.63 um     1.11 um     8165 A   
