 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\f_in_cf4_30torr.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.696E-05  6.121E-04    1.78 um     1.17 um     8140 A   
    1.2 eV    5.696E-05  6.468E-04    1.86 um     1.22 um     8525 A   
    1.3 eV    5.928E-05  6.803E-04    1.93 um     1.26 um     8908 A   
    1.4 eV    6.152E-05  7.127E-04    2.00 um     1.31 um     9278 A   
    1.5 eV    6.368E-05  7.442E-04    2.07 um     1.35 um     9635 A   
    1.6 eV    6.577E-05  7.749E-04    2.13 um     1.39 um     9977 A   
    1.7 eV    6.779E-05  8.047E-04    2.19 um     1.43 um     1.03 um  
    1.8 eV    6.976E-05  8.338E-04    2.24 um     1.47 um     1.06 um  
      2 eV    7.353E-05  8.899E-04    2.35 um     1.54 um     1.12 um  
   2.25 eV    7.799E-05  9.568E-04    2.48 um     1.63 um     1.19 um  
2.49999 eV    8.221E-05  1.020E-03    2.59 um     1.72 um     1.26 um  
2.74999 eV    8.623E-05  1.081E-03    2.70 um     1.80 um     1.32 um  
2.99999 eV    9.006E-05  1.140E-03    2.80 um     1.87 um     1.38 um  
3.24999 eV    9.374E-05  1.196E-03    2.90 um     1.95 um     1.43 um  
3.49999 eV    9.728E-05  1.251E-03    2.99 um     2.02 um     1.48 um  
3.74999 eV    1.007E-04  1.303E-03    3.08 um     2.08 um     1.53 um  
